Source_Image_PATH,Transform_Image_PATH,A11,A12,tx,A21,A22,ty
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_0 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,-1.4210854715202004e-14,-1.0,6.123233995736766e-17,240.0
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_0 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,239.99999999999997,-1.2246467991473532e-16,-1.0,240.00000000000003
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_0 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,240.00000000000003,1.0,-1.8369701987210297e-16,2.842170943040401e-14
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_20 roate_045.976-62.655_13.png,1.0,0.0,20.0,0.0,1.0,0.0
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_20 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,-1.298620791605465e-14,-1.0,6.123233995736766e-17,220.0
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_20 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,219.99999999999997,-1.2246467991473532e-16,-1.0,240.00000000000003
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_20 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,240.00000000000003,1.0,-1.8369701987210297e-16,20.00000000000003
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_-20 roate_045.976-62.655_13.png,1.0,0.0,-20.0,0.0,1.0,0.0
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_-20 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,-1.5435501514349358e-14,-1.0,6.123233995736766e-17,260.0
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_-20 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,260.0,-1.2246467991473532e-16,-1.0,240.00000000000003
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_-20 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,240.00000000000003,1.0,-1.8369701987210297e-16,-19.99999999999997
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_0 roate_045.976-62.655_13.png,1.0,0.0,0.0,0.0,1.0,20.0
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_0 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,19.999999999999986,-1.0,6.123233995736766e-17,240.0
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_0 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,239.99999999999997,-1.2246467991473532e-16,-1.0,220.00000000000003
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_0 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,220.00000000000003,1.0,-1.8369701987210297e-16,2.4747769032961947e-14
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_0 roate_045.976-62.655_13.png,1.0,0.0,0.0,0.0,1.0,-20.0
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_0 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,-20.000000000000014,-1.0,6.123233995736766e-17,240.0
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_0 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,239.99999999999997,-1.2246467991473532e-16,-1.0,260.0
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_0 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,260.0,1.0,-1.8369701987210297e-16,3.209564982784607e-14
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_20 roate_045.976-62.655_13.png,1.0,0.0,20.0,0.0,1.0,20.0
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_20 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,19.999999999999986,-1.0,6.123233995736766e-17,220.0
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_20 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,219.99999999999997,-1.2246467991473532e-16,-1.0,220.00000000000003
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_20 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,220.00000000000003,1.0,-1.8369701987210297e-16,20.000000000000025
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_-20 roate_045.976-62.655_13.png,1.0,0.0,-20.0,0.0,1.0,-20.0
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_-20 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,-20.000000000000014,-1.0,6.123233995736766e-17,260.0
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_-20 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,259.99999999999994,-1.2246467991473532e-16,-1.0,260.00000000000006
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_-20 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,260.00000000000006,1.0,-1.8369701987210297e-16,-19.999999999999968
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_-20 roate_045.976-62.655_13.png,1.0,0.0,-20.0,0.0,1.0,20.0
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_-20 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,19.999999999999986,-1.0,6.123233995736766e-17,260.0
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_-20 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,260.0,-1.2246467991473532e-16,-1.0,220.00000000000003
center_images/45.976-62.655_13.png,transformed_images/ down_20 right_-20 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,220.00000000000003,1.0,-1.8369701987210297e-16,-19.999999999999975
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_20 roate_045.976-62.655_13.png,1.0,0.0,20.0,0.0,1.0,-20.0
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_20 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,-20.000000000000014,-1.0,6.123233995736766e-17,220.0
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_20 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,219.99999999999997,-1.2246467991473532e-16,-1.0,260.0
center_images/45.976-62.655_13.png,transformed_images/ down_-20 right_20 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,260.0,1.0,-1.8369701987210297e-16,20.000000000000032
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_40 roate_045.976-62.655_13.png,1.0,0.0,40.0,0.0,1.0,0.0
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_40 roate_9045.976-62.655_13.png,6.123233995736766e-17,1.0,-1.1761561116907298e-14,-1.0,6.123233995736766e-17,200.0
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_40 roate_18045.976-62.655_13.png,-1.0,1.2246467991473532e-16,199.99999999999997,-1.2246467991473532e-16,-1.0,240.00000000000003
center_images/45.976-62.655_13.png,transformed_images/ down_0 right_40 roate_27045.976-62.655_13.png,-1.8369701987210297e-16,-1.0,240.00000000000003,1.0,-1.8369701987210297e-16,40.00000000000003
